title,year,citations,open_access,journal,country
An Overview of Artificial Intelligence Ethics,2022,357,True,,CN
Artificial intelligence ethics guidelines for developers and users: clarifying their content and normative implications,2020,254,True,,SE
Understanding artificial intelligence ethics and safety,2019,136,True,,
Understanding Artificial Intelligence Ethics and Safety: A Guide for the Responsible Design and Implementation of AI Systems in the Public Sector,2019,277,True,,GB
The ethics of artificial intelligence,2014,725,False,,GB
Medical artificial intelligence ethics: A systematic review of empirical studies,2023,139,True,,US
Artificial intelligence ethics by design. Evaluating public perception on the importance of ethical design principles of artificial intelligence,2022,169,True,,DE
The Current State of Industrial Practice in Artificial Intelligence Ethics,2020,93,True,,FI
Artificial intelligence ethics has a black box problem,2022,71,False,,CA
Artificial Intelligence (AI) Ethics,2020,424,False,,US
Artificial Intelligence Ethics and Challenges in Healthcare Applications: A Comprehensive Review in the Context of the European GDPR Mandate,2023,104,True,,
Qualitative and quantitative analyses of artificial intelligence ethics in education using VOSviewer and CitNetExplorer,2023,82,True,,GB
Understanding artificial intelligence ethics and safety: A guide for the responsible design and implementation of AI systems in the public sector,2019,89,True,,
"In AI We Trust: Ethics, Artificial Intelligence, and Reliability",2020,495,True,,SE
Ethics of artificial intelligence and robotics,2020,325,True,,US
"Artificial Intelligence: Ethics, Governance and Policy Challenges",2019,46,False,,BE
"Artificial intelligence, ethics and human values: the cases of military drones and companion robots",2019,67,False,,FR
Incorporating Ethics into Artificial Intelligence,2017,351,False,,US
The EU Approach to Ethics Guidelines for Trustworthy Artificial Intelligence,2019,331,False,,
The Ethics of Artificial Intelligence,2018,296,False,,
Artificial intelligence for good health: a scoping review of the ethics literature,2021,367,True,,CA
Medical ethics considerations on artificial intelligence,2019,274,False,,TR
"The Chinese approach to artificial intelligence: an analysis of policy, ethics, and regulation",2020,485,True,,GB
Ethics in artificial intelligence: introduction to the special issue,2018,402,False,,NL
Ethics and governance of trustworthy medical artificial intelligence,2023,344,True,,CN
Toward Non-Intuition-Based Machine and Artificial Intelligence Ethics,2018,40,False,,US
"Machine learning and artificial intelligence research for patient benefit: 20 critical questions on transparency, replicability, ethics, and effectiveness",2020,453,True,,GB
Locating the work of artificial intelligence ethics,2022,23,False,,US
"Artificial Intelligence, Ethics, and Enhanced Data Stewardship",2019,25,False,,US
What do academics say about artificial intelligence ethics? An overview of the scholarship,2022,39,False,,US
The Ethics of Artificial Intelligence,2023,228,False,,US
Applying the Hunt Vitell ethics model to artificial intelligence ethics,2021,28,False,,US
Building Ethics into Artificial Intelligence,2018,190,True,,SG
Artificial Intelligence Ethics Guidelines for K-12 Education: A Review of the Global Landscape,2021,44,False,,CA
Cognitive architectures for artificial intelligence ethics,2022,23,True,,AU
The Ethics of Artificial Intelligence in Education,2022,179,True,,GB
"Artificial intelligence, ethics, and intergenerational responsibility",2022,22,True,,DE
Technological support to foster students’ artificial intelligence ethics: An augmented reality-based contextualized dilemma discussion approach,2023,48,False,,CN
Artificial Intelligence Ethics and Trust: From Principles to Practice,2023,23,True,,AU
Towards a Code of Ethics for Artificial Intelligence,2017,251,False,,GB
Ethics of Artificial Intelligence in Radiology: Summary of the Joint European and North American Multisociety Statement,2019,331,True,,IE
Ethics and discrimination in artificial intelligence-enabled recruitment practices,2023,279,True,,CN
Politics by Automatic Means? A Critique of Artificial Intelligence Ethics at Work,2022,24,True,,GB
The emergence of artificial intelligence ethics auditing,2024,17,True,,US
Ethics of Artificial Intelligence in Education: Student Privacy and Data Protection,2023,202,True,,CN
"Connecting the dots in trustworthy Artificial Intelligence: From AI principles, ethics, and key requirements to responsible AI systems and regulation",2023,566,True,,ES
"Artificial Intelligence Ethics and Fairness: A study to address bias and fairness issues in AI systems, and the ethical implications of AI applications",2023,44,True,,IN
Artificial Intelligence Ethics: Governance through Social Media,2019,20,False,,US
"Artificial Intelligence, Ethics and International Human Rights Law",2021,18,True,,MA
"A meta systematic review of artificial intelligence in higher education: a call for increased ethics, collaboration, and rigour",2024,383,True,,NO
<scp>ChatGPT</scp> and a new academic reality: <scp>Artificial Intelligence‐written</scp> research papers and the ethics of the large language models in scholarly publishing,2023,689,True,,US
"Ethics for Artificial Intelligence, Ethics for All",2019,15,True,,CH
China’s Artificial Intelligence Ethics: Policy Development in an Emergent Community of Practice,2022,26,True,,DK
Social choice ethics in artificial intelligence,2017,140,False,,
"Reflections on the ethics, potential, and challenges of artificial intelligence in the framework of quality education (SDG4)",2022,252,True,,
Ethics of artificial intelligence 1,2021,123,False,,
Artificial intelligence ethics in precision oncology: balancing advancements in technology with patient privacy and autonomy,2023,31,True,,IT
"Fairness, Accountability, Transparency, and Ethics (FATE) in Artificial Intelligence (AI) and higher education: A systematic review",2023,272,True,,CA
How Do Software Companies Deal with Artificial Intelligence Ethics? A Gap Analysis,2022,21,True,,FI
Influences of Digital Literacy and Moral Sensitivity on Artificial Intelligence Ethics Awareness Among Nursing Students,2024,18,True,,KR
On the Governance of Artificial Intelligence through Ethics Guidelines,2020,129,True,,SE
Ethics by design for artificial intelligence,2023,104,True,,NL
Robotics: Ethics of artificial intelligence,2015,150,True,,US
"Artificial Intelligence, Ethics of",2022,10,False,,NL
Artificial Intelligence and Ethics in Dentistry: A Scoping Review,2021,149,False,,CA
"Artificial Intelligence, Ethics, and Art Education in a Posthuman World",2022,15,False,,CA
Artificial Intelligence: Ethics in Practice.,2020,11,False,,
Artificial intelligence ethics in services: are we paying attention to that?!,2024,14,False,,CN
"Ethics and diversity in artificial intelligence policies, strategies and initiatives",2022,144,True,,IE
"Artificial Intelligence, Ethics of",2023,9,False,,NL
Artificial Intelligence Ethik (Artificial Intelligence Ethics),2018,12,True,,US
"Artificial intelligence, ethics, equity and higher education: a ‘beginning-of-the-discussion’ paper",2020,20,False,,
Artificial intelligence: From ethics to law,2020,117,False,,ES
Prognosis of exploration on Chat GPT with artificial intelligence ethics,2023,15,True,,IN
The Ethics of Emotion in Artificial Intelligence Systems,2021,142,True,,CA
"Whom to Trust, How and Why: Untangling Artificial Intelligence Ethics Principles, Trustworthiness, and Trust",2023,23,True,,AU
Robot Ethics 2.0: From Autonomous Cars to Artificial Intelligence,2017,199,False,,
Operationalising ethics in artificial intelligence for healthcare: a framework for AI developers,2022,135,True,,AU
"Frontiers of Artificial Intelligence, Ethics, and Multidisciplinary Applications",2024,12,True,,NO
"Artificial Intelligence in Healthcare: Review, Ethics, Trust Challenges &amp; Future Research Directions",2023,183,False,,IN
Ethics of Artificial Intelligence in Medicine and Ophthalmology,2021,135,True,,US
"Ethics, Governance, and Policies in Artificial Intelligence",2021,134,False,,GB
Building the case for actionable ethics in digital health research supported by artificial intelligence,2019,215,True,,US
Focus on artificial intelligence ethics in dentistry,2022,10,True,,FR
Research on Artificial Intelligence Ethics in the Field of Art Design,2020,8,True,,CN
"Artificial Intelligence, Ethics, and Intergenerational Responsibility",2021,9,True,,DE
Ethics and privacy of artificial intelligence: Understandings from bibliometrics,2021,113,False,,AU
Ethics of Artificial Intelligence,2020,70,False,,
Cross-Cultural Challenges to Artificial Intelligence Ethics,2023,8,True,,CN
Artificial Intelligence Safety Engineering: Why Machine Ethics Is a Wrong Approach,2012,119,False,,US
Expectations of artificial intelligence and the performativity of ethics: Implications for communication governance,2020,114,True,,IE
Artificial Intelligence and Robotics in Nursing: Ethics of Caring as a Guide to Dividing Tasks Between AI and Humans,2020,163,False,,US
Artificial Intelligence Ethics Taxonomy - Robotic Process Automation (RPA) as Business Case,2021,16,True,,FI
Mapping research strands of ethics of artificial intelligence in healthcare: A bibliometric and content analysis,2021,126,False,,IR
Artificial Intelligence Ethics Taxonomy- Robotic Process Automation (RPA) as Business Case,2022,16,True,,FI
Cultivation Model of Entrepreneurship From the Perspective of Artificial Intelligence Ethics,2022,11,True,,CN
Ethics of Artificial Intelligence,2019,60,True,,CA
"Ethics, Artificial Intelligence, and Radiology",2018,66,False,,US
"The Chinese Approach to Artificial Intelligence: An Analysis of Policy, Ethics, and Regulation",2021,148,False,,GB
Ethics of Artificial Intelligence,2022,62,True,,GB
